"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2023Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","30.88"
"Average Hourly Earnings","2023Q2","Greater than 250","Education (P)","Euro","46"
"Average Hourly Earnings","2023Q2","Greater than 250","Human health and social work activities (Q)","Euro","30.34"
"Average Hourly Earnings","2023Q2","Greater than 250","Industry (B to E)","Euro","30.48"
"Average Hourly Earnings","2023Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","37.25"
"Average Hourly Earnings","2023Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","21.67"
"Average Hourly Earnings","2023Q3","Under 50","All NACE economic sectors","Euro","23.99"
"Average Hourly Earnings","2023Q3","Under 50","Construction (F)","Euro","24.28"
"Average Hourly Earnings","2023Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.96"
"Average Hourly Earnings","2023Q3","Under 50","Transportation and storage (H)","Euro","20.28"
"Average Hourly Earnings","2023Q3","Under 50","Accommodation and food service activities (I)","Euro","16.09"
"Average Hourly Earnings","2023Q3","Under 50","Information and communication (J)","Euro","33.2"
"Average Hourly Earnings","2023Q3","Under 50","Professional, scientific and technical activities (M)","Euro","31.39"
"Average Hourly Earnings","2023Q3","Under 50","Administrative and support service activities (N)","Euro","25.4"
"Average Hourly Earnings","2023Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","29.07"
"Average Hourly Earnings","2023Q3","Under 50","Education (P)","Euro","26.11"
"Average Hourly Earnings","2023Q3","Under 50","Human health and social work activities (Q)","Euro","23.2"
"Average Hourly Earnings","2023Q3","Under 50","Industry (B to E)","Euro","23.81"
"Average Hourly Earnings","2023Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","36.26"
"Average Hourly Earnings","2023Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.32"
"Average Hourly Earnings","2023Q3","50 - 250","All NACE economic sectors","Euro","24.81"
"Average Hourly Earnings","2023Q3","50 - 250","Construction (F)","Euro","26.4"
"Average Hourly Earnings","2023Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22.88"
"Average Hourly Earnings","2023Q3","50 - 250","Transportation and storage (H)","Euro","21.86"
"Average Hourly Earnings","2023Q3","50 - 250","Accommodation and food service activities (I)","Euro","15.84"
"Average Hourly Earnings","2023Q3","50 - 250","Information and communication (J)","Euro","37.63"
"Average Hourly Earnings","2023Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","33.22"
"Average Hourly Earnings","2023Q3","50 - 250","Administrative and support service activities (N)","Euro","24.62"
"Average Hourly Earnings","2023Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","36.37"
"Average Hourly Earnings","2023Q3","50 - 250","Education (P)","Euro","29.92"
"Average Hourly Earnings","2023Q3","50 - 250","Human health and social work activities (Q)","Euro","19.44"
"Average Hourly Earnings","2023Q3","50 - 250","Industry (B to E)","Euro","23.59"
"Average Hourly Earnings","2023Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","34.75"
"Average Hourly Earnings","2023Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","24.1"
"Average Hourly Earnings","2023Q3","Greater than 250","All NACE economic sectors","Euro","30.99"
"Average Hourly Earnings","2023Q3","Greater than 250","Construction (F)","Euro","28.55"
"Average Hourly Earnings","2023Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","20.96"
"Average Hourly Earnings","2023Q3","Greater than 250","Transportation and storage (H)","Euro","25.42"
"Average Hourly Earnings","2023Q3","Greater than 250","Accommodation and food service activities (I)","Euro","15.57"
"Average Hourly Earnings","2023Q3","Greater than 250","Information and communication (J)","Euro","44.98"
"Average Hourly Earnings","2023Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","33.18"
"Average Hourly Earnings","2023Q3","Greater than 250","Administrative and support service activities (N)","Euro","20.53"
"Average Hourly Earnings","2023Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","29.86"
"Average Hourly Earnings","2023Q3","Greater than 250","Education (P)","Euro","46.79"
"Average Hourly Earnings","2023Q3","Greater than 250","Human health and social work activities (Q)","Euro","30.14"
"Average Hourly Earnings","2023Q3","Greater than 250","Industry (B to E)","Euro","29.27"
"Average Hourly Earnings","2023Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","36.45"
"Average Hourly Earnings","2023Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","23.38"
"Average Hourly Earnings","2023Q4","Under 50","All NACE economic sectors","Euro","24.14"
"Average Hourly Earnings","2023Q4","Under 50","Construction (F)","Euro","23.12"
"Average Hourly Earnings","2023Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22.29"
"Average Hourly Earnings","2023Q4","Under 50","Transportation and storage (H)","Euro","21.29"
"Average Hourly Earnings","2023Q4","Under 50","Accommodation and food service activities (I)","Euro","16.45"
"Average Hourly Earnings","2023Q4","Under 50","Information and communication (J)","Euro","35.55"
"Average Hourly Earnings","2023Q4","Under 50","Professional, scientific and technical activities (M)","Euro","30.75"
"Average Hourly Earnings","2023Q4","Under 50","Administrative and support service activities (N)","Euro","26.76"
"Average Hourly Earnings","2023Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","34.23"
"Average Hourly Earnings","2023Q4","Under 50","Education (P)","Euro","22.1"
"Average Hourly Earnings","2023Q4","Under 50","Human health and social work activities (Q)","Euro","24.3"
"Average Hourly Earnings","2023Q4","Under 50","Industry (B to E)","Euro","25.67"
"Average Hourly Earnings","2023Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","39.67"
"Average Hourly Earnings","2023Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","21.22"
"Average Hourly Earnings","2023Q4","50 - 250","All NACE economic sectors","Euro","25.75"
"Average Hourly Earnings","2023Q4","50 - 250","Construction (F)","Euro","28.72"
"Average Hourly Earnings","2023Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.59"
"Average Hourly Earnings","2023Q4","50 - 250","Transportation and storage (H)","Euro","22.55"
"Average Hourly Earnings","2023Q4","50 - 250","Accommodation and food service activities (I)","Euro","15.84"
"Average Hourly Earnings","2023Q4","50 - 250","Information and communication (J)","Euro","38.15"
"Average Hourly Earnings","2023Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","34.01"
"Average Hourly Earnings","2023Q4","50 - 250","Administrative and support service activities (N)","Euro","24.94"
"Average Hourly Earnings","2023Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","36.07"
"Average Hourly Earnings","2023Q4","50 - 250","Education (P)","Euro","31.94"
"Average Hourly Earnings","2023Q4","50 - 250","Human health and social work activities (Q)","Euro","19.8"
"Average Hourly Earnings","2023Q4","50 - 250","Industry (B to E)","Euro","23.84"
"Average Hourly Earnings","2023Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","38.41"
"Average Hourly Earnings","2023Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.1"
"Average Hourly Earnings","2023Q4","Greater than 250","All NACE economic sectors","Euro","31.73"
"Average Hourly Earnings","2023Q4","Greater than 250","Construction (F)","Euro","30.72"
"Average Hourly Earnings","2023Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","21.97"
"Average Hourly Earnings","2023Q4","Greater than 250","Transportation and storage (H)","Euro","24.91"
"Average Hourly Earnings","2023Q4","Greater than 250","Accommodation and food service activities (I)","Euro","16.24"
"Average Hourly Earnings","2023Q4","Greater than 250","Information and communication (J)","Euro","46.19"
"Average Hourly Earnings","2023Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","34.97"
"Average Hourly Earnings","2023Q4","Greater than 250","Administrative and support service activities (N)","Euro","20.94"
"Average Hourly Earnings","2023Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","30.69"
"Average Hourly Earnings","2023Q4","Greater than 250","Education (P)","Euro","47.27"
"Average Hourly Earnings","2023Q4","Greater than 250","Human health and social work activities (Q)","Euro","30.33"
"Average Hourly Earnings","2023Q4","Greater than 250","Industry (B to E)","Euro","30.52"
"Average Hourly Earnings","2023Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","37.1"
"Average Hourly Earnings","2023Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","22.52"
"Average Hourly Earnings","2024Q1","Under 50","All NACE economic sectors","Euro","24.7"
"Average Hourly Earnings","2024Q1","Under 50","Construction (F)","Euro","25.02"
"Average Hourly Earnings","2024Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22.78"
"Average Hourly Earnings","2024Q1","Under 50","Transportation and storage (H)","Euro","20.97"
"Average Hourly Earnings","2024Q1","Under 50","Accommodation and food service activities (I)","Euro","17.17"
"Average Hourly Earnings","2024Q1","Under 50","Information and communication (J)","Euro","39.91"
"Average Hourly Earnings","2024Q1","Under 50","Professional, scientific and technical activities (M)","Euro","30.23"
"Average Hourly Earnings","2024Q1","Under 50","Administrative and support service activities (N)","Euro","27.62"
"Average Hourly Earnings","2024Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","34"
"Average Hourly Earnings","2024Q1","Under 50","Education (P)","Euro","24.74"
"Average Hourly Earnings","2024Q1","Under 50","Human health and social work activities (Q)","Euro","22.63"
"Average Hourly Earnings","2024Q1","Under 50","Industry (B to E)","Euro","23.48"
"Average Hourly Earnings","2024Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","40.59"
"Average Hourly Earnings","2024Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.58"
"Average Hourly Earnings","2024Q1","50 - 250","All NACE economic sectors","Euro","27.83"
"Average Hourly Earnings","2024Q1","50 - 250","Construction (F)","Euro","28.31"
"Average Hourly Earnings","2024Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","24.92"
"Average Hourly Earnings","2024Q1","50 - 250","Transportation and storage (H)","Euro","23.45"
"Average Hourly Earnings","2024Q1","50 - 250","Accommodation and food service activities (I)","Euro","16.85"
"Average Hourly Earnings","2024Q1","50 - 250","Information and communication (J)","Euro","42.57"
"Average Hourly Earnings","2024Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","38.19"
"Average Hourly Earnings","2024Q1","50 - 250","Administrative and support service activities (N)","Euro","26.46"
"Average Hourly Earnings","2024Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","35.93"
"Average Hourly Earnings","2024Q1","50 - 250","Education (P)","Euro","32.12"
"Average Hourly Earnings","2024Q1","50 - 250","Human health and social work activities (Q)","Euro","20.18"
"Average Hourly Earnings","2024Q1","50 - 250","Industry (B to E)","Euro","25.06"
"Average Hourly Earnings","2024Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","45.6"
"Average Hourly Earnings","2024Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","25.57"
"Average Hourly Earnings","2024Q1","Greater than 250","All NACE economic sectors","Euro","33.41"
"Average Hourly Earnings","2024Q1","Greater than 250","Construction (F)","Euro","28.51"
"Average Hourly Earnings","2024Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23.28"
"Average Hourly Earnings","2024Q1","Greater than 250","Transportation and storage (H)","Euro","25.06"
